,n,const,sum,prod,polin,polin_horn,bub_sort,quick_sort,timsort
92,93,3.5999983083456755e-07,1.8559999807621354e-05,1.306000012846198e-05,0.00030237999999371823,1.899999988381751e-05,0.00023707999971520622,0.0005168000003322959,0.0003370400001585949
93,94,3.5999983083456755e-07,1.9439999960013665e-05,1.3179999950807541e-05,0.00026552000017545654,1.8899999849963935e-05,0.00024379999995289837,0.0005402999999205349,0.00034723999997368085
94,95,2.5999979698099195e-07,1.4720000035595148e-05,1.278000017919112e-05,0.00042632000004232394,2.7919999774894676e-05,0.0004014800000732066,0.0006903999998030486,0.00039256000018212945
95,96,3.7999998312443497e-07,2.1520000154851003e-05,1.4599999849451705e-05,0.0003087600001890678,2.0420000146259555e-05,0.00027599999993981327,0.0006245399999897927,0.00035167999994882847
96,97,2.600001607788727e-07,1.5639999764971436e-05,1.2860000060754828e-05,0.0002775400000246009,1.919999995152466e-05,0.0002688799999305047,0.0005724000002373941,0.0003640800001448952
97,98,2.399996446911246e-07,1.4740000187885016e-05,1.3079999916953966e-05,0.0002777800000330899,2.0059999951627105e-05,0.0002489999998942949,0.0005947800000285497,0.00036541999979817775
98,99,2.4000000848900526e-07,1.4460000238614157e-05,1.2760000026901253e-05,0.0002808799999911571,1.9800000154646112e-05,0.00028228000010130925,0.0005972400002065114,0.0003733800000190968
99,100,2.399996446911246e-07,1.4659999942523428e-05,1.3000000035390257e-05,0.00028545999994094017,2.0059999951627105e-05,0.0002811199999996461,0.0006484600002295337,0.00038236000000324566
100,101,3.7999998312443497e-07,2.091999995172955e-05,1.3480000052368269e-05,0.00029145999978936744,2.0859999858657828e-05,0.0002768599999399157,0.0006362599997373763,0.0003870799999276642
101,102,2.9999973776284606e-07,1.8679999993764795e-05,1.3440000111586415e-05,0.00029232000015326775,1.9980000070063396e-05,0.0003632600000855746,0.0010628399999404793,0.0006170399999973597
102,103,6.399997801054269e-07,2.488000027369708e-05,1.367999975627754e-05,0.00029452000017045067,2.125999999407213e-05,0.0002860600001440616,0.0006918399998539826,0.00044100000013713725
