,Unnamed: 0,n,const,sum,prod,polin,polin_horn,bub_sort,quick_sort,timsort
123,123,124,6.199999916134403e-07,1.340000017080456e-06,6.780000694561749e-06,0.0004085399999894434,2.5120000282186082e-05,0.002061659999526455,0.00021350000024540348,0.00044040000029781367
124,124,125,7.199996616691352e-07,1.3400007446762174e-06,6.5599990193732085e-06,0.0004054199998790864,2.3460000375052913e-05,0.0020964000003004914,0.00021055999968666583,0.0003930800001398893
125,125,126,6.399997801054269e-07,1.3199998647905886e-06,6.900001608300954e-06,0.00041376000008312973,2.553999911469873e-05,0.0021503799995116427,0.000218239999958314,0.00044669999988400383
126,126,127,6.600006599910556e-07,1.3600001693703234e-06,7.09999876562506e-06,0.00044290000005275937,2.569999996921979e-05,0.0022602399996685557,0.0002084400002786424,0.0004489000006287824
127,127,128,8.000002708286047e-07,1.3600001693703234e-06,7.080000068526715e-06,0.0004404199993587099,2.596000012999866e-05,0.0022193199998582712,0.000212199999805307,0.0003873800003930228
128,128,129,6.599995685974137e-07,1.3600001693703234e-06,7.140000525396317e-06,0.0004203000004054048,2.66799997916678e-05,0.0023318800002016357,0.00023021999950287867,0.00040103999963321264
129,129,130,8.399998478125781e-07,1.3999997463542968e-06,7.180000829976052e-06,0.00042252000021107965,2.6599999910104088e-05,0.002266739999686252,0.00024225999950431288,0.0003812400002061622
130,130,131,6.399997801054269e-07,1.32000059238635e-06,7.18000010238029e-06,0.0004300199998397147,2.921999985119328e-05,0.002318679999007145,0.00023908000002847984,0.00037826000007044056
131,131,132,6.400001439033075e-07,1.739999424898997e-06,7.280000863829627e-06,0.0004283199999917997,2.65800001216121e-05,0.002341100000194274,0.0002228599998488789,0.00040719999960856515
132,132,133,6.599999323952943e-07,1.3600016245618463e-06,7.280000863829627e-06,0.0004274200000509154,2.721999953791965e-05,0.002274560000296333,0.00022677999986626675,0.00037842000056116377
133,133,134,7.599999662488698e-07,1.3600008969660849e-06,6.8600013037212195e-06,0.00042614000012690666,2.469999926688615e-05,0.002372059999834164,0.00024129999947035684,0.0004058799997437745
134,134,135,6.599999323952943e-07,1.7400001524947583e-06,7.339999865507707e-06,0.0004193400000076508,2.6499999876250516e-05,0.0023918199996842307,0.0002251199999591336,0.0004012399993371218
135,135,136,5.800000508315862e-07,1.340000017080456e-06,7.4200004746671764e-06,0.00044796000001952053,2.729999978328124e-05,0.002480300000024727,0.00023867999989306559,0.00041784000022744295
136,136,137,6.599999323952943e-07,1.32000059238635e-06,6.939999002497643e-06,0.0004250599999068072,2.528000040911138e-05,0.002532459999929415,0.00020984000038879456,0.0004068999998708023
137,137,138,6.800004484830424e-07,1.3600001693703234e-06,7.23999910405837e-06,0.0004499400001805043,2.78199997410411e-05,0.0025724200000695413,0.00024044000019785014,0.00042155999981332567
138,138,139,6.999998731771484e-07,1.3600001693703234e-06,7.200000982265919e-06,0.0004801599996426376,2.7319999571773223e-05,0.0025349199997435788,0.00024339999981748409,0.0004273400001693517
139,139,140,7.199996616691352e-07,1.4000004739500583e-06,7.119999645510689e-06,0.0004391800004668767,2.8179999935673548e-05,0.002695000000312575,0.0002595200003270293,0.00042253999963577367
140,140,141,6.400001439033075e-07,1.3800010492559522e-06,7.139999797800556e-06,0.00045683999996981584,2.611999989312608e-05,0.002632660000017495,0.00023882000023149884,0.00043699999951059
141,141,142,5.600002623395995e-07,1.4999997802078723e-06,7.199999527074397e-06,0.0004630000006727642,2.8620000011869707e-05,0.002608499999769265,0.00025399999940418645,0.0004473000000871252
142,142,143,6.599999323952943e-07,1.4199998986441641e-06,7.2199989517685024e-06,0.00046787999963271437,2.892000011343043e-05,0.0027224000001297103,0.0002357000001211418,0.0004329199997300748
143,143,144,6.399994163075461e-07,1.4199998986441641e-06,7.259999983943999e-06,0.00046549999970011416,2.6580000485409984e-05,0.002774320000389707,0.00024482000007992606,0.00043399999995017417
144,144,145,7.200000254670157e-07,1.460000203223899e-06,7.239999831654131e-06,0.0004761000000144122,2.907999987655785e-05,0.0027490999997098696,0.00026037999959953594,0.00044727999993483537
